name,category,catalog_group,catalog_file,entry_anchor,availability,stat_baseline,cr,size,creature_type,ac,hp,speed,str,dex,con,int,wis,cha,habitat,elyndrian_regions,campaign_status,magical_dependency,dead_zone_behavior,recommended_party_levels,suitable_gate_city,strengths_advantages,weaknesses_disadvantages,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,senses,verification,physical_viability,connection_severance,dm_adjudication
Dire Wolf,Natural Wildlife/Wolves and Large Predators,natural_ecology,catalog/natural_ecology/Wolves_and_Large_Predators.md,dire-wolf,5e and 5.5e,Basic Rules (2014),1,Large,Beast,14,37,50 ft.,17,15,15,3,12,7,"Forest, hill",Northern foothills; Western Mountains; remote central forests,Natural,None,Functions normally.,2-4,Faerindel; Ironforge,Pack Tactics; advantage on hearing/smell Perception; strong knockdown bite; high speed,Poor mental saves; easier to isolate than a full pack,None,None,None,None,Passive Perception 13,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Displacer Beast,Planar and Escaped/Fey and Ethereal Predators,planar_and_magical,catalog/planar_and_magical/Fey_and_Ethereal_Predators.md,displacer-beast,5e and 5.5e,Basic Rules (2014),3,Large,Monstrosity,13,85,40 ft.,18,15,16,6,12,8,Forest,Gate predator; black-market specimen; escaped collection,Planar or escaped,Moderate,Displacement is suppressed; physical attacks and movement remain.,3-5,Faerindel; Ravensport,Displacement imposes disadvantage on attacks; Avoidance; long-reach tentacles,Low AC without displacement; poor Intelligence and Charisma; weakened in dead zones,None,None,None,None,Darkvision 60 ft.; Passive Perception 11,Verified planning baseline,Physically self-sustaining,"Magical control, summoning, telepathy, tracking, or creator/master links are severed when present.",DM decides behavioral consequences after severance.
Dretch,Planar and Escaped/Minor and Moderate Gate Incursions,gate_incursions,catalog/gate_incursions/Minor_and_Moderate_Gate_Incursions.md,dretch,5e and 5.5e,Basic Rules (2014),1/4,Small,Fiend (Demon),11,18,20 ft.,11,11,12,5,8,3,Abyss,Disorganized breach creature; expendable attack group,Planar,High,Supernatural defenses are suppressed; physical attacks and bodily cloud remain; drain applies.,1-3 in groups,All,Fetid Cloud; multiple attacks; broad resistances outside dead zones,Slow; low AC and mental scores; poor coordination,None,"Cold, Fire, Lightning",Poison,Poisoned,Darkvision 60 ft.; Passive Perception 9,Verified planning baseline,Physically self-sustaining,"Magical control, summoning, telepathy, tracking, or creator/master links are severed when present.",DM decides behavioral consequences after severance.
Dryad,Planar and Escaped/Fey and Magical Wilderness Creatures,planar_and_magical,catalog/planar_and_magical/Fey_and_Magical_Wilderness_Creatures.md,dryad,5e and 5.5e,Basic Rules (2014),1,Medium,Fey,11,22,30 ft.,10,12,11,14,15,18,"Feywild, forest, wilderness",Faerindel; Central Forest Belt; gate-adjacent forests,"Planar visitor, resident, or escaped fey",High,"Spellcasting, charm, Tree Stride, and magical tree communication fail. Physical body survives.",1-3 or social,Faerindel,High Charisma and Wisdom; Magic Resistance; charm; tree mobility,Low AC/HP; heavily reduced without magic,None,None,None,None,Darkvision 60 ft.; Passive Perception varies,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,Home-tree connection and magical communication are severed immediately.,"DM decides survival duration, distress, and recovery after leaving the dead zone."
Dust Mephit,Planar and Escaped/Minor Elemental Gate Creatures,gate_incursions,catalog/gate_incursions/Minor_Elemental_Gate_Creatures.md,dust-mephit,5e and 5.5e,Basic Rules (2014),1/2,Small,Elemental,12,17,"30 ft., fly 30 ft.",5,14,10,9,11,10,"Elemental planes, gate facilities",Dry cargo; excavation; collapsed masonry; desert breaches,Planar elemental gate creature,Extreme,Magical elemental body collapses; leaves ordinary dust. Exact timing is set by the DM.,1-3 in groups,Ironforge; Ravensport; Faerindel,Blinding breath; death burst; flight; sleep magic,Low HP/Strength; fire vulnerability; dissipates in dead zones,Fire,None,Poison,Poisoned,Darkvision 60 ft.; Passive Perception 10,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Summoning, binding, creator, and planar command links are severed immediately.",DM decides collapse timing and whether a core radius temporarily sustains it.
Earth Elemental,Planar and Escaped/Major Elemental Gate Creatures,gate_incursions,catalog/gate_incursions/Major_Elemental_Gate_Creatures.md,earth-elemental,5e and 5.5e,Basic Rules (2014),5,Large,Elemental,17,126,"30 ft., burrow 30 ft.",20,8,20,5,10,5,Elemental planes,Major gate chambers; industrial or environmental breach,Severe planar elemental,Extreme,Magical body collapses into inert earth and stone; exact timing is set by the DM.,5-8,All,High AC/HP; Earth Glide; Siege Monster; tremorsense,Low Dexterity and mental scores; loses cohesion in dead zones,None,"Bludgeoning, Piercing, Slashing from nonmagical attacks",Poison,"Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious",Darkvision 60 ft.; Tremorsense 60 ft.; Passive Perception 10,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Summoning, binding, creator, and planar command links are severed immediately.",DM decides collapse timing and core-radius interaction.
Elephant,Natural Wildlife/Southern-Plains Wildlife,natural_ecology,catalog/natural_ecology/Southern_Plains_Wildlife.md,elephant,5e and 5.5e,Basic Rules (2014),4,Huge,Beast,12,76,40 ft.,22,9,17,3,11,6,Grassland,Warm southern grasslands; river plains,Natural,None,Functions normally.,4-6,Ravensport region,Trampling Charge; huge Strength and reach; high HP,Low Dexterity and mental scores; enormous target; normally nonaggressive,None,None,None,None,Normal senses unless noted,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Elk,Natural Wildlife/Hoofed Animals and Megafauna,natural_ecology,catalog/natural_ecology/Hoofed_Animals_and_Megafauna.md,elk,5e and 5.5e,Basic Rules (2014),1/4,Large,Beast,10,13,50 ft.,16,10,12,2,10,6,"Forest, grassland, hill",Northern valleys; Central Forest Belt; Lake Aelorin; south,Natural,None,Functions normally.,1-3 as herd hazard,All,High speed; charge can knock targets prone; useful stampede creature,Very low AC and Intelligence; normally avoids sustained combat,None,None,None,None,Normal senses unless noted,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Fire Elemental,Planar and Escaped/Major Elemental Gate Creatures,gate_incursions,catalog/gate_incursions/Major_Elemental_Gate_Creatures.md,fire-elemental,5e and 5.5e,Basic Rules (2014),5,Large,Elemental,13,102,50 ft.,10,17,16,6,10,7,Elemental planes,Major gate chambers; industrial or environmental breach,Severe planar elemental,Extreme,Magical body collapses into ash and extinguished heat; exact timing is set by the DM.,5-8,All,Fire Form; ignites creatures/objects; high speed; many immunities,Cold vulnerability; water susceptibility; dies in dead zones,Cold,"Bludgeoning, Piercing, Slashing from nonmagical attacks","Fire, Poison","Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious",Darkvision 60 ft.; Passive Perception 10,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Summoning, binding, creator, and planar command links are severed immediately.",DM decides collapse timing and core-radius interaction.
Fire Snake,Planar and Escaped/Minor Elemental Gate Creatures,gate_incursions,catalog/gate_incursions/Minor_Elemental_Gate_Creatures.md,fire-snake,5e,Monster Manual (2014),1,Medium,Elemental,14,22,30 ft.,12,14,11,7,10,8,"Elemental planes, gate facilities",Forge gates; heated tunnels; elemental cargo,Planar elemental gate creature,Extreme,Magical elemental body collapses; leaves ash and cooling mineral remains. Exact timing is set by the DM.,1-3,Ironforge; Ravensport; Faerindel,Heated body and weapons; fire immunity; physical reach,Cold vulnerability; modest HP; dies in dead zones,Cold,"Bludgeoning, Piercing, Slashing from nonmagical attacks",Fire,Poisoned,Darkvision 60 ft.; Passive Perception 10,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Summoning, binding, creator, and planar command links are severed immediately.",DM decides collapse timing and whether a core radius temporarily sustains it.
Flesh Golem,Planar and Escaped/Magically Animated Constructs and Objects,constructs_and_animated,catalog/constructs_and_animated/Magically_Animated_Constructs_and_Objects.md,flesh-golem,5e and 5.5e,Basic Rules (2014),5,Medium,Construct,9,93,30 ft.,19,9,18,6,10,5,"Constructed, urban, facility",Ravensport trade; Ironforge workshops; Faerindel estates; gate facilities,Magically animated construct,Extreme,Animation ceases and it becomes a dead stitched corpse. Exact timing is set by the DM.,5-7,All,Very high HP/Constitution; lightning absorption; strong melee; Magic Resistance,Very low AC and mental scores; fire aversion; berserk risk,None,None,"Lightning, Poison; Bludgeoning, Piercing, Slashing from nonmagical attacks not made with adamantine","Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",Darkvision 60 ft.; Passive Perception varies,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Creator, amulet, telepathic, command, and stored-spell connections are severed immediately.",DM decides shutdown timing and whether a core radius sustains or restores animation.
Frost Salamander,Natural Wildlife/Cold-Region Predators,natural_ecology,catalog/natural_ecology/Cold_Region_Predators.md,frost-salamander,5e,Mordenkainen Presents: Monsters of the Multiverse,9,Huge,Elemental,17,168,"60 ft., burrow 40 ft., climb 40 ft.",20,12,18,7,11,7,Arctic,Gate breach; escaped study subject; northern catastrophe,Planar or escaped,High,"Magical elemental body loses cohesion and dies, dissipates, or becomes inert matter; exact timing is set by the DM.",8-11,Ironforge,Cold immunity; extreme mobility; many attacks; freezing breath,Fire vulnerability; poor Intelligence and Charisma; collapses in prolonged dead-zone exposure,Fire,None,Cold,None,Darkvision 60 ft.; Tremorsense 60 ft.; Passive Perception 14,Supplement baseline; verify owned D&D Beyond version before live play,Not self-sustaining in a dead zone,"Any summoner, master, or planar command link is severed immediately.",DM decides collapse timing and whether a core radius temporarily sustains it.
Galeb Duhr,Planar and Escaped/Major Elemental Gate Creatures,gate_incursions,catalog/gate_incursions/Major_Elemental_Gate_Creatures.md,galeb-duhr,5e,Monster Manual (2014),6,Medium,Elemental,16,85,15 ft. (30 ft. rolling),20,14,20,11,12,11,"Mountain, elemental earth",Ironforge mines; stone circles; gate defense,Planar elemental guardian,Extreme,Magical body and animation cease; it becomes an ordinary inert boulder.,6-8,Ironforge,High Constitution; False Appearance; Rolling Charge; animates boulders,Very slow when not rolling; dead zones make it inert,None,"Bludgeoning, Piercing, Slashing from nonmagical attacks",Poison,"Exhaustion, Paralyzed, Petrified, Poisoned",Darkvision 60 ft.; Tremorsense 60 ft.; Passive Perception 11,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Binding, creator, and command links are severed.",DM decides collapse timing and core-radius interaction.
Gargoyle,Planar and Escaped/Minor Elemental Gate Creatures,gate_incursions,catalog/gate_incursions/Minor_Elemental_Gate_Creatures.md,gargoyle,5e and 5.5e,Basic Rules (2014),2,Medium,Elemental,15,52,"30 ft., fly 60 ft.",15,11,16,6,11,7,"Elemental planes, gate facilities",Stone cargo; rooftop attacks; imported gate sentries,Planar elemental gate creature,Extreme,Magical elemental body collapses; leaves ordinary stone statue. Exact timing is set by the DM.,2-4,Ironforge; Ravensport; Faerindel,Flight; high HP; False Appearance; broad physical resistance,Low mental scores; adamantine bypasses resistance; inert in dead zones,None,"Bludgeoning, Piercing, Slashing from nonmagical attacks not made with adamantine",Poison,"Exhaustion, Petrified, Poisoned",Darkvision 60 ft.; Passive Perception 10,Planning baseline; verify the selected owned D&D Beyond version before live play.,Not self-sustaining in a dead zone,"Summoning, binding, creator, and planar command links are severed immediately.",DM decides collapse timing and whether a core radius temporarily sustains it.
Gas Spore Fungus,"Natural Ecology/Physical Fungi, Myconids, and Predatory Plants",natural_ecology,catalog/natural_ecology/Physical_Fungi_Myconids_and_Predatory_Plants.md,gas-spore-fungus,5e and 5.5e,Monster Manual (2014),1/2,Large,Plant,5,1,"0 ft., fly 10 ft. (hover)",5,1,3,1,1,1,"Underground, laboratory",Deep caverns; abandoned laboratories; gate cargo; sealed facilities,"Rare natural organism, invasive, or escaped specimen",None,Functions normally; spores and disease are biological.,Hazard for 1-4,Ironforge; Ravensport,False Appearance; explosive death burst; dangerous infection,Only 1 HP; extremely slow; harmless if recognized and avoided,None,None,None,"Blinded, Deafened, Frightened",Blindsight 30 ft. (blind beyond); Passive Perception 5,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,None by default.,DM determines encounter-specific exceptions.
Gelatinous Cube,Natural Ecology/Approved Nonmagical Oozes,natural_ecology,catalog/natural_ecology/Approved_Nonmagical_Oozes.md,gelatinous-cube,5e and 5.5e,Basic Rules (2014),2,Large,Ooze,6,84,15 ft.,14,3,20,1,6,1,"Underground, sewer, ruin",Mines; sewers; abandoned facilities; industrial drains; deep caverns,Approved unintelligent nonmagical organism,None,"Functions normally. Acid, engulfing, splitting, and corrosion are physical unless the DM rules a particular version otherwise.",2-4,Ironforge; Ravensport; Deepanvil,Transparent ambush; engulfs; exceptional Constitution and HP,"Extremely low AC, Dexterity, and Intelligence; slow",None,None,None,"Blinded, Charmed, Deafened, Exhaustion, Frightened, Prone",Blindsight 60 ft. (blind beyond); Passive Perception varies,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,None; oozes have no creator connection unless a specific encounter adds one.,DM determines encounter-specific exceptions.
Giant Bat,Natural Wildlife/Aerial and Cliff-Dwelling Wildlife,natural_ecology,catalog/natural_ecology/Aerial_and_Cliff_Dwelling_Wildlife.md,giant-bat,5e and 5.5e,Basic Rules (2014),1/4,Large,Beast,13,22,"10 ft., fly 60 ft.",15,16,11,2,12,6,"Cavern, forest, mountain",Western and Northern Mountains; Deepanvil; forest caves,Natural,None,Functions normally.,1-3 in groups,Ironforge; Faerindel,Blindsight; flight; advantage on hearing Perception,Blindsight fails while deafened; low Constitution and Intelligence,None,None,None,None,Blindsight 60 ft.; Passive Perception 11,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Giant Boar,Natural Wildlife/Hoofed Animals and Megafauna,natural_ecology,catalog/natural_ecology/Hoofed_Animals_and_Megafauna.md,giant-boar,5e and 5.5e,Basic Rules (2014),2,Large,Beast,12,42,40 ft.,17,10,16,2,7,5,"Forest, grassland, hill",Remote central forests; southern grasslands; western foothills,Natural,None,Functions normally.,2-4,Faerindel; Ravensport,Powerful charge; Relentless; strong Constitution,Very low mental scores; low AC; charge is terrain-dependent,None,None,None,None,Normal senses unless noted,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Giant Centipede,Natural Wildlife/Swarms and Small Vermin,natural_ecology,catalog/natural_ecology/Swarms_and_Small_Vermin.md,giant-centipede,5e and 5.5e,Basic Rules (2014),1/4,Small,Beast,13,4,"30 ft., climb 30 ft.",5,14,12,1,7,3,"Underground, urban",Mines; sewers; warm caverns; refuse areas,Natural,None,Functions normally.,1-2 in groups,Ironforge,Climb speed; venom can paralyze creatures reduced to 0 HP,Extremely low HP and Strength,None,None,None,None,Blindsight 30 ft.; Passive Perception 8,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Giant Constrictor Snake,"Natural Ecology/Freshwater, Marsh, and Deep-Water Wildlife",natural_ecology,catalog/natural_ecology/Freshwater_Marsh_and_Deep_Water_Wildlife.md,giant-constrictor-snake,5e and 5.5e,Basic Rules (2014),2,Huge,Beast,12,60,"30 ft., swim 30 ft.",19,14,12,1,10,3,"Forest, swamp, freshwater",Lake Aelorin wetlands; southern marshes; warm riverbanks; Duskmarsh; Silent Fen,Natural,None,Functions normally.,2-4,Faerindel; Ravensport,Powerful restraining constrict attack; swim speed; blindsight,Low mental scores; modest AC; vulnerable to focused ranged attacks,None,None,None,None,Blindsight 10 ft.; Passive Perception 12,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,None by default.,DM determines encounter-specific exceptions.
Giant Crab,"Natural Wildlife/Aquatic, Wetland and Coastal Wildlife",natural_ecology,catalog/natural_ecology/Aquatic_Wetland_and_Coastal_Wildlife.md,giant-crab,5e and 5.5e,Basic Rules (2014),1/8,Medium,Beast,15,13,"30 ft., swim 30 ft.",13,15,11,1,9,3,Coastal,Ravensport estuary; Azure coast; southern marshes,Natural,None,Functions normally.,1-2 in groups,Ravensport,High AC for CR; grapple; amphibious; blindsight,"Low HP, Constitution and mental scores",None,None,None,None,Blindsight 30 ft.; Passive Perception 9,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Giant Crocodile,"Natural Wildlife/Aquatic, Wetland and Coastal Wildlife",natural_ecology,catalog/natural_ecology/Aquatic_Wetland_and_Coastal_Wildlife.md,giant-crocodile,5e and 5.5e,Basic Rules (2014),5,Huge,Beast,14,85,"30 ft., swim 50 ft.",21,9,17,2,10,7,"Coastal, swamp",Remote southern marshes; deep eastern river channels,Natural,None,Functions normally.,5-7,Ravensport,High-strength grapple; tail knockdown; fast swimmer; Hold Breath,Low Dexterity and mental saves; enormous and easy to spot out of water,None,None,None,None,Normal senses unless noted,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Giant Dragonfly,Natural Wildlife/Venomous Animals and Large Insects,natural_ecology,catalog/natural_ecology/Venomous_Animals_and_Large_Insects.md,giant-dragonfly,5e,The Wild Beyond the Witchlight,1/2,Large,Beast,13,22,"10 ft., fly 60 ft.",15,16,13,1,12,6,"Wetland, river, lake",Southern wetlands; Lake Aelorin marshes; eastern waterways,Natural,None,Functions normally.,1-2,Faerindel; Ravensport,Fast flight; aerial mobility; strong Dexterity,Low Intelligence; vulnerable when grounded,None,None,None,None,Passive Perception 11,Adventure baseline; verify owned D&D Beyond version before live play,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Giant Fire Beetle,Natural Wildlife/Swarms and Small Vermin,natural_ecology,catalog/natural_ecology/Swarms_and_Small_Vermin.md,giant-fire-beetle,5e and 5.5e,Basic Rules (2014),0,Small,Beast,13,4,30 ft.,8,10,12,1,7,3,Underground,Western mines; Deepanvil; Ironforge; natural caves,Natural,None,Functions normally.,Environmental; level 1 groups,Ironforge,Biological illumination; blindsight; useful environmental creature,"Very low HP, Intelligence and Wisdom",None,None,None,None,Blindsight 30 ft.; Passive Perception 8,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Giant Frog,"Natural Wildlife/Aquatic, Wetland and Coastal Wildlife",natural_ecology,catalog/natural_ecology/Aquatic_Wetland_and_Coastal_Wildlife.md,giant-frog,5e and 5.5e,Basic Rules (2014),1/4,Medium,Beast,11,18,"30 ft., swim 30 ft.",12,13,11,2,10,3,"Swamp, river, lake",Eastern Riverlands; Lake Aelorin; Duskmarsh; Silent Fen,Natural,None,Functions normally.,1-2,Ravensport; Faerindel,Standing Leap; amphibious; tongue grapple and swallow,Low AC and mental scores; small prey restriction,None,None,None,None,Darkvision 30 ft.; Passive Perception 12,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Giant Goat,Natural Wildlife/Hoofed Animals and Megafauna,natural_ecology,catalog/natural_ecology/Hoofed_Animals_and_Megafauna.md,giant-goat,5e and 5.5e,Basic Rules (2014),1/2,Large,Beast,11,19,40 ft.,17,11,12,3,12,6,"Grassland, hill, mountain",Northern and Western Mountains,Natural,None,Functions normally.,1-3,Ironforge,Charge; advantage on Strength and Dexterity saves against being knocked prone; mountain mobility,Low AC; limited ranged reach; poor mental scores,None,None,None,None,Normal senses unless noted,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Giant Hyena,Natural Wildlife/Southern-Plains Wildlife,natural_ecology,catalog/natural_ecology/Southern_Plains_Wildlife.md,giant-hyena,5e and 5.5e,Basic Rules (2014),1,Large,Beast,12,45,50 ft.,16,14,14,2,12,7,"Grassland, hill",Remote southern plains and scrub,Natural,None,Functions normally.,2-4,Ravensport region,Rampage grants bonus movement/attack after dropping a foe; fast and durable,Low AC and Intelligence; behavior can be baited,None,None,None,None,Passive Perception 13,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Giant Lizard,"Natural Wildlife/Cavern, Mine and Burrowing Predators",natural_ecology,catalog/natural_ecology/Cavern_Mine_and_Burrowing_Predators.md,giant-lizard,5e and 5.5e,Basic Rules (2014),1/4,Large,Beast,12,19,"30 ft., climb 30 ft.",15,12,13,2,10,5,"Coast, forest, swamp, underground",Warm caverns; southern wetlands; western mines,Natural,None,Functions normally.,1-2,Ironforge; Faerindel,Climb speed; solid Strength for CR,Low AC and mental scores; simple tactics,None,None,None,None,Darkvision 30 ft.; Passive Perception 10,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Giant Octopus,"Natural Wildlife/Aquatic, Wetland and Coastal Wildlife",natural_ecology,catalog/natural_ecology/Aquatic_Wetland_and_Coastal_Wildlife.md,giant-octopus,5e and 5.5e,Basic Rules (2014),1,Large,Beast,11,52,"10 ft., swim 60 ft.",17,13,13,4,10,4,"Coastal, underwater",Azure Sea; Ravensport harbor approaches; rocky southern coast,Natural,None,Functions normally.,1-3,Ravensport,Long-reach grapple; underwater camouflage grants Stealth advantage; ink escape; high swim speed,Low AC; very slow on land; Water Breathing limits time ashore,None,None,None,None,Darkvision 60 ft.; Passive Perception 14,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Giant Scorpion,Natural Wildlife/Venomous Animals and Large Insects,natural_ecology,catalog/natural_ecology/Venomous_Animals_and_Large_Insects.md,giant-scorpion,5e and 5.5e,Basic Rules (2014),3,Large,Beast,15,52,40 ft.,15,13,15,1,9,3,"Desert, warm cavern",Southern drylands; badlands; warm caves; quarries,Natural,None,Functions normally.,3-5,Ravensport; Ironforge,High AC; two grappling claws; dangerous venomous sting; blindsight,Very poor mental scores; no ranged attack,None,None,None,None,Blindsight 60 ft.; Passive Perception 9,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Giant Sea Eel,"Natural Ecology/Freshwater, Marsh, and Deep-Water Wildlife",natural_ecology,catalog/natural_ecology/Freshwater_Marsh_and_Deep_Water_Wildlife.md,giant-sea-eel,5e,Ghosts of Saltmarsh,1/2,Large,Beast,14,19,swim 40 ft.,11,14,12,1,10,3,"Coastal, underwater",Rocky Azure Sea shallows; harbor foundations; submerged ruins,Natural,None,Functions normally.,1-3,Ravensport,Underwater ambush; narrow-crevice mobility; venomous bite in its published form,Cannot breathe air; low HP and Intelligence,None,None,None,None,Darkvision 60 ft.; Passive Perception 10,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,None by default.,DM determines encounter-specific exceptions.
Giant Shark,"Natural Wildlife/Aquatic, Wetland and Coastal Wildlife",natural_ecology,catalog/natural_ecology/Aquatic_Wetland_and_Coastal_Wildlife.md,giant-shark,5e and 5.5e,Basic Rules (2014),5,Huge,Beast,13,126,swim 50 ft.,23,11,21,1,10,5,Deep ocean,Open Azure Sea and distant shipping waters,Natural,None,Functions normally.,5-7,Ravensport,Blood Frenzy; huge HP; very strong bite; blindsight,Cannot breathe air; enormous target; limited environmental use,None,None,None,None,Blindsight 60 ft.; Passive Perception 13,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Giant Snapping Turtle,"Natural Ecology/Freshwater, Marsh, and Deep-Water Wildlife",natural_ecology,catalog/natural_ecology/Freshwater_Marsh_and_Deep_Water_Wildlife.md,giant-snapping-turtle,5e,Tomb of Annihilation,3,Large,Beast,17,75,"30 ft., swim 40 ft.",19,10,14,2,12,5,"Swamp, freshwater",Southern marshes; slow river branches; warm Lake Aelorin shallows,Natural,None,Functions normally.,3-5,Faerindel; Ravensport,Very high natural AC; strong bite; amphibious ambush predator,Poor Dexterity and Intelligence; limited ranged reach,None,None,None,None,Darkvision 60 ft.; Passive Perception 11,Planning baseline; verify the selected owned D&D Beyond version before live play.,Physically self-sustaining,None by default.,DM determines encounter-specific exceptions.
Giant Spider,"Natural Wildlife/Cavern, Mine and Burrowing Predators",natural_ecology,catalog/natural_ecology/Cavern_Mine_and_Burrowing_Predators.md,giant-spider,5e and 5.5e,Basic Rules (2014),1,Large,Beast,14,26,"30 ft., climb 30 ft.",14,16,12,2,11,4,"Forest, swamp, underground, urban",Central forests; southern wetlands; mines; ruins,Natural,None,Functions normally; web and venom are biological.,1-3,All,Spider Climb; Web Sense and Web Walker; ranged restraint; venom,Low mental scores; modest HP; fire can destroy webs,None,None,None,None,Blindsight 10 ft.; Darkvision 60 ft.; Passive Perception 10,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Giant Squid,"Natural Ecology/Freshwater, Marsh, and Deep-Water Wildlife",natural_ecology,catalog/natural_ecology/Freshwater_Marsh_and_Deep_Water_Wildlife.md,giant-squid,5.5e,Monster Manual (2024),6,Huge,Beast,13,120,swim 80 ft.,22,13,21,4,12,4,"Deep ocean, underwater",Deep Azure Sea; distant shipping lanes; major underwater ruins,"Natural, exceptionally rare",None,Functions normally.,6-8,Ravensport,Multiple long-reaching tentacles; grappling; ink escape; exceptional swim speed,Cannot breathe air; huge target; unsuitable for shallow inland water,None,None,None,None,Darkvision 120 ft.; Passive Perception 14,Current-version planning baseline; verify exact Monster Manual (2024) values in D&D Beyond before play.,Physically self-sustaining,None by default.,DM determines encounter-specific exceptions.
Giant Toad,"Natural Wildlife/Aquatic, Wetland and Coastal Wildlife",natural_ecology,catalog/natural_ecology/Aquatic_Wetland_and_Coastal_Wildlife.md,giant-toad,5e and 5.5e,Basic Rules (2014),1,Large,Beast,11,39,"20 ft., swim 40 ft.",15,13,13,2,10,3,"Swamp, river, lake",Southern wetlands; Lake Aelorin; eastern channels,Natural,None,Functions normally.,1-3,Ravensport; Faerindel,Amphibious; Standing Leap; grapple and swallow,Low AC and mental scores; slow on land,None,None,None,None,Darkvision 30 ft.; Passive Perception 10,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
Giant Venomous Snake,Natural Wildlife/Venomous Animals and Large Insects,natural_ecology,catalog/natural_ecology/Venomous_Animals_and_Large_Insects.md,giant-venomous-snake,5e and 5.5e,Basic Rules (2014; Giant Poisonous Snake),1/4,Medium,Beast,14,11,"30 ft., swim 30 ft.",10,18,13,2,10,3,"Forest, swamp, grassland",Southern wetlands; Lake Aelorin; riverlands,Natural,None,Functions normally.,1-3,Faerindel; Ravensport,Very high Dexterity; accurate venomous bite; swim speed,Low HP and mental scores,None,None,None,None,Blindsight 10 ft.; Passive Perception 12,Verified planning baseline,Physically self-sustaining,"None by default; magical control, tracking, or creator links are severed when present.",DM determines encounter-specific exceptions.
